from,to,relation
HPR,TT,1
FH,NA,NA
MF,Basis,5
MF,MR,2
MF,ME,1
ME,KSK,4
ME,Coronagegner,5
ME,PW,1
ME,MF,1
CW,AfD,5
CW,Coronagegner,5
CW,FR,3
RHL,AfD,4
RVP,Bundeswehr,5
RVP,PW,3
RVP,AM,3
PG,Coronagegner,5
MVH,KSK,5
MVH,Coronagegner,5
MR,MF,2
PW,Bundeswehr ,5
PW,RVP,3
PW,ME,1
RR,Coronagegner,5
BMW,AfD,5
TT,HPR,1
FR,CDU,5
FR,CW,3
AM,KSK,5
AM,RVP,3
NA,NA,NA
